Position,FullName,FirstName,LastName,RawTime,RoundedTime,Year,School,Date,Meet,
1,Nathan Green,Nathan,Green,3:32.20,3:32,Jr,Washington,"June 21, 2024",United States Olympic Team Track & Field Trials,
2,Elliott Cook,Elliott,Cook,3:33.84,3:34,Sr,Oregon,"June 21, 2024",United States Olympic Team Track & Field Trials,
3,Colin Sahlman,Colin,Sahlman,3:33.96,3:34,So,Northern Arizona,"April 13, 2024",2024 Bryan Clay Invitational,
4,Nico Young,Nico,Young,3:34.56,3:35,Sr,Northern Arizona,"May 4, 2024",Occidental Invitational,
5,Ethan Strand,Ethan,Strand,3:35.60,3:36,So,North Carolina,"April 12, 2024",Duke Invitational,
6,Wes Porter,Wes,Porter,3:35.63,3:36,Sr,Virginia,"June 9, 2024",2024 Portland Track Festival High Performance,
7,Gary Martin,Gary,Martin,3:35.77,3:36,So,Virginia,"June 9, 2024",2024 Portland Track Festival High Performance,
8,Fouad Messaoudi,Fouad,Messaoudi,3:36.08,3:36,Jr,Oklahoma State,"April 13, 2024",2024 Bryan Clay Invitational,
9,Parvej Khan,Parvej,Khan,3:36.21,3:36,Fr,Florida,"June 9, 2024",2024 Portland Track Festival High Performance,
10,Parker Wolfe,Parker,Wolfe,3:36.25,3:36,Jr,North Carolina,"April 12, 2024",Duke Invitational,
11,Liam Murphy,Liam,Murphy,3:36.37,3:36,Jr,Villanova,"June 21, 2024",United States Olympic Team Track & Field Trials,
12,Abel Teffra,Abel,Teffra,3:36.52,3:37,Jr,Georgetown,"June 9, 2024",2024 Portland Track Festival High Performance,
13,Davis Bove,Davis,Bove,3:37.13,3:37,Sr,Cal Poly,"June 9, 2024",2024 Portland Track Festival High Performance,
14,Isaac Basten,Isaac,Basten,3:37.14,3:37,Sr,Drake,"June 9, 2024",2024 Portland Track Festival High Performance,
15,Adam Spencer,Adam,Spencer,3:37.32,3:37,Jr,Wisconsin,"June 8, 2024",NCAA Division I Outdoor Championships,
16,Luke Houser,Luke,Houser,3:37.53,3:38,Sr,Washington,"June 8, 2024",NCAA Division I Outdoor Championships,
17,Ezekiel Rop,Ezekiel,Rop,3:37.62,3:38,Sr,Iowa State,"June 8, 2024",NCAA Division I Outdoor Championships,
18,Foster Malleck,Foster,Malleck,3:37.87,3:38,Sr,Boston University,"June 8, 2024",The Adrian Martinez Classic,
19,Nicholas Plant,Nicholas,Plant,3:37.88,3:38,So,Virginia Tech,"June 9, 2024",2024 Portland Track Festival High Performance,
20,Joe Waskom,Joe,Waskom,3:37.93,3:38,Sr,Washington,"June 8, 2024",NCAA Division I Outdoor Championships,
21,Lucas Bons,Lucas,Bons,3:37.99,3:38,Sr,BYU,"June 21, 2024",United States Olympic Team Track & Field Trials,
22,Anass Essayi,Anass,Essayi,3:38.25,3:38,Jr,South Carolina,"April 19, 2024",Wake Forest Invitational,
23,Alex Stitt,Alex,Stitt,3:38.35,3:38,Sr,Oklahoma State,"April 19, 2024",John McDonnell Invitational,
24,Camden Gilmore,Camden,Gilmore,3:38.49,3:38,Sr,Georgetown,"June 9, 2024",2024 Portland Track Festival High Performance,
25,Steven Jackson,Steven,Jackson,3:38.66,3:39,Sr,Boston College,"May 22, 2024",NCAA DI Outdoor Championships - East First-Rounds,
26,Rheinhardt Harrison,Rheinhardt,Harrison,3:38.70,3:39,Fr,Oregon,"June 8, 2024",NCAA Division I Outdoor Championships,
27,Damien Dilcher,Damien,Dilcher,3:38.85,3:39,Sr,Iona,"May 22, 2024",NCAA DI Outdoor Championships - East First-Rounds,
28,Foster Nick,Foster,Nick,3:39.08,3:39,-,University of Michigan (Ann Arbor) Club,"June 9, 2024",2024 Portland Track Festival High Performance,
29,Peter Smith,Peter,Smith,3:39.23,3:39,Sr,Iowa State,"June 8, 2024",NCAA Division I Outdoor Championships,
30,JaQuavious Harris,JaQuavious,Harris,3:39.24,3:39,So,Salt Lake (Utah) CC,"May 4, 2024",Occidental Invitational,
31,Damian Hackett,Damian,Hackett,3:39.26,3:39,Jr,Cornell,"May 22, 2024",NCAA DI Outdoor Championships - East First-Rounds,
32,Benne Anderson,Benne,Anderson,3:39.55,3:40,Fr,Syracuse,"May 22, 2024",NCAA DI Outdoor Championships - East First-Rounds,
33,Tyler Wirth,Tyler,Wirth,3:39.58,3:40,Sr,Cincinnati,"April 19, 2024",Wake Forest Invitational,
34,Charlie ODonovan,Charlie,ODonovan,3:39.65,3:40,Sr,Villanova,"March 30, 2024",Raleigh Relays,
35,Travis Martin,Travis,Martin,3:39.80,3:40,Jr,Connecticut,"June 8, 2024",The Adrian Martinez Classic,
36,Evert Silva,Evert,Silva,3:39.87,3:40,Sr,Oklahoma City,"May 3, 2024",Arkansas Twilight,
37,Harrison Witt,Harrison,Witt,3:40.18,3:40,Jr,Princeton,"April 12, 2024",Larry Ellis Invitational,
38,Owen Karas,Owen,Karas,3:40.22,3:40,So,Yale,"May 22, 2024",NCAA DI Outdoor Championships - East First-Rounds,
39,James Donahue,James,Donahue,3:40.27,3:40,Fr,Virginia,"March 30, 2024",Raleigh Relays,
40,Aiden Neal,Aiden,Neal,3:40.33,3:40,So,North Carolina,"April 12, 2024",Duke Invitational,
41,Nick Foster,Nick,Foster,3:40.36,3:40,Sr,Michigan,"March 29, 2024",Battle on the Bayou,
42,Joe Ewing,Joe,Ewing,3:40.43,3:40,So,Harvard,"March 30, 2024",Raleigh Relays,
43,Isaiah Givens,Isaiah,Givens,3:40.43,3:40,So,Colorado,"April 26, 2024",Payton Jordan Cardinal Invitational,
